type,b_mean,b_std,g_mean,g_std,r_mean,r_std
Berry Blue,221.15616045845272,7.850590701957946,198.35458452722062,12.290580427069306,43.480659025787965,69.8904099050818
Berry Blue,222.74163701067616,9.973210173440267,202.10462633451957,16.12404362644469,75.82953736654804,84.00717082677988
Berry Blue,214.03328677839852,9.7036900964319,189.29608938547486,7.236709617299848,7.32891061452514,17.38361303541915
Berry Blue,214.74215552523876,10.74572902207761,191.29519099590723,10.159707153846728,15.299113233287859,36.71884289431531
Berry Blue,226.19428818693206,10.294868647490857,205.9398528775422,17.156099060825152,93.99610558199913,85.78025058923016
Berry Blue,226.62315193457061,16.934012671487668,208.03554576910977,27.167411639957088,72.46555520603964,106.60581269860887
Berry Blue,222.23219584569733,9.629305954244964,200.0207715133531,15.733227101045602,52.40875370919881,74.98177215048055
Berry Blue,218.47168566286743,23.8519656398586,197.5343731253749,26.502123608133772,43.41139772045591,84.44042373788622
Berry Blue,215.19139780940318,17.856869519956746,193.16563594367037,17.638604653921426,32.454977274420685,62.26681291218078
Berry Blue,225.9053987122338,10.992453874196746,204.8670133729569,18.325003192260407,85.51485884101041,90.62756356090578
Berry Blue,219.95601775187123,9.628651121565687,196.93906074054448,14.17358004613479,37.0503411273763,69.05228962009912
Berry Blue,223.4531231338827,12.287650995724142,201.4964767705721,19.809299678783496,61.856921055774514,88.84023007246982
Berry Blue,225.1829836829837,15.043692060724837,204.96853146853147,24.965457496440667,63.015151515151516,100.65009436345954
Berry Blue,215.39469466260618,22.31903976173914,195.1228829406422,24.378482986454877,44.31006571565956,81.02371598087849
Berry Blue,219.33436503023665,15.638547497693366,197.46659682872243,16.999621607190136,49.822294176467786,74.03468995987436
Berry Blue,217.110361120486,4.690808323179098,191.8292271346608,3.7859354323050702,10.26189672629092,18.779506140318187
Berry Blue,226.70423661071143,20.756603401543217,210.0243804956035,30.45827375219968,89.64428457234213,112.16592178598485
Berry Blue,222.1522435897436,21.732660965896763,205.39957264957266,29.044608334795033,65.82719017094017,107.09217661783649
Berry Blue,216.58722154494072,15.640935415979824,194.05938527466844,15.169719754666176,28.01516494883446,55.85219284168474
Berry Blue,224.8671506352087,10.910515035602137,203.26152450090743,18.25761479102309,72.61052631578947,88.80377662121826
Birthday Cake Remix(TM),226.59602510460252,18.267222196993963,241.87991631799164,8.665435015608491,251.80020920502093,2.614659341267541
Birthday Cake Remix(TM),223.55840682376754,12.872174656518359,241.06729796154403,6.719747425658053,252.41051033685125,2.15137881553634
Birthday Cake Remix(TM),228.10206337509211,21.62041674455459,241.8879882092852,10.59744321327872,251.087324981577,3.219568940613426
Birthday Cake Remix(TM),221.5689189189189,14.611167559975748,238.40213371266003,8.461562056241334,248.8721906116643,9.790941783348472
Birthday Cake Remix(TM),223.39247986998598,12.954234837510276,240.27820048755262,6.253410368738967,249.15490876856023,9.408023576165546
Birthday Cake Remix(TM),223.24789621318374,10.565851365089905,240.35126227208977,5.30408775700576,250.92945301542778,2.3469868142231802
Birthday Cake Remix(TM),224.40673599847344,10.620106856074212,239.75107337086155,6.10504639554088,248.925102566549,12.646991688564038
Birthday Cake Remix(TM),220.1677749360614,7.773387936461637,239.99803921568628,3.856692845144261,252.01764705882354,1.8106756228887062
Birthday Cake Remix(TM),223.06376371540958,11.886789956476566,239.63425574494514,6.332632919799613,249.50438203022566,4.393067918285404
Birthday Cake Remix(TM),222.71574716843259,10.93013738647372,240.34724150529777,5.237465914422446,251.12488125685056,2.067964284735261
Birthday Cake Remix(TM),226.5685695538058,19.55460143607899,241.8999343832021,9.041579368451588,251.27230971128608,2.870795049988687
Birthday Cake Remix(TM),228.777758117314,15.232248232458181,243.06644253737946,7.696909932701194,252.7544899584181,1.994012750025109
Birthday Cake Remix(TM),220.32138057854164,7.89450406756582,240.1815545653865,3.864244042956827,252.11337435462195,1.954487111164779
Birthday Cake Remix(TM),220.18435050391938,8.877433189998136,238.42287234042553,4.3927352518290474,250.57964725643896,2.36134773920505
Birthday Cake Remix(TM),224.20659833440104,10.977627707362725,240.8237668161435,5.208442996138458,250.8559256886611,2.770659129133821
Birthday Cake Remix(TM),227.77630736392743,13.903383417809657,242.45261472785486,6.657415449188335,251.52379935965848,2.4442381606540424
Birthday Cake Remix(TM),224.66355467382425,11.439352980256913,241.73030692029408,5.383764046665168,252.28906523514996,1.8868378333289653
Birthday Cake Remix(TM),223.70943175161102,12.892329655661724,239.75303372667167,6.553003363819817,250.0436856640723,3.113244595955867
Birthday Cake Remix(TM),224.23390620448586,11.69098150057473,241.5377221089426,5.465176278811944,252.33877075444218,2.032005033109684
Birthday Cake Remix(TM),222.13977514433304,9.788925576494456,239.8050744454573,4.9348368549320005,250.42601033120633,2.124986532972412
Birthday Cake Remix(TM),216.23253833049404,6.55129914394107,236.92844974446336,3.6884632722187636,250.40034071550255,2.229552147852729
Birthday Cake Remix(TM),225.0808375943511,16.140462412380945,241.46408570732896,7.238055366844499,251.31848064280496,2.458292333666325
Birthday Cake Remix(TM),222.19694421755634,18.098230401681032,239.98145389900543,9.380403431576648,251.12684379954837,4.941755274822171
Birthday Cake Remix(TM),220.41787503295544,6.406081264024682,239.5201687318745,3.351013677770222,250.8897969944635,1.6847460943717467
